PIT Tag #,Date,Time,Researcher,Spp,Encounter,Detection,Recap,Location,Mode,Avg Count,Error,Elevatlon,Easting,Northing,Waypoint,Habitat,Weather,Cloud cover,Ta,Tg,Comments,Pillow case,SVL,VTL (cm),S + B,Bag,Mass (g),Sex,Age class,Gravid,Rattle paint,Photo #,Comments,Rel date,Rel time,Rel researcher,Days in captivity,Rel locatlon,Behaviour,Record #,Type,Dist to Building,Dist to Road,Dir to Building,Dir to Road,
4551486333,8/28/2008,10:49,CIK,Rattlesnake,,Sound,,Desert,3D diff,109,2.1,310,321538,543.5051,311,Grassland,"Cloudy, Cool",100,20.9,20.3,,#9,,5.1,305,104,201,Male,Adult,NA,"Fiesta yellow, Car pink, Citrus green",,,8/28/2008,17:06,OMM,,At capture location,On the move,2008-156,Capt,,,,,
452F616938,9/2/2008,13:05,Interpreter Staff,Rattlesnake,,Sight,Yes,Lrg Pithouse - inside,,,,,322,543,,Pit-house,"Cloudy, Warm",50,,,,13,,5.8,439,110,329,Male,Adult,NA,"Fuchsia, Fiesta yellow, Citrus green",,,9/3/2008,12:00,OMM,1,Village riperean,On the move,2008-159,08recap,,,,,
485F024713,9/2/2008,16:21,CIK,Rattlesnake,,Sight,Yes,Coverboards#A-8,3D diff,232,4.1,298,321588,5434810,329,CoverBoard,"Cloudy, Warm",100,26,27,,#17,,3.6,336,102,234,Female,Adult,No,"Daisy cream, Pt purple, Citrus green",,1new rattle,9/3/2008,11:00,OMM,1,At capture location,Under coverboard,2008-157,08recap,,,,,
CO158020908,9/2/2008,16:39,CIK,Neonate,,Sight,,Coverboards-B3,3D diff,14,3.8,299,321725,543698,0.33,CoverBoard#B-3,"Cloudy, Warm",100,25.6,26.2,,#11,,2.6,195,122,73,Female,Neonate,No,Gold,5398-5399,,9/3/2008,11:00,OMM,1,At capture location,Under coverboard,2008-158,Sight,,,,,
430F5B2E26,9/4/2008,13:22,CIK,Rattlesnake,,Sight,Yes,First Bridge,3D diff,100,4,333,322136,5435055,,Under #1 bridge,"Sunny, Warm",50,25.6,26.7,Billy the kidd,#9,,6.6,446,105,341,Male,Adult,NA,"Tango blue, Fiesta yellow",,,9/4/2008,13:41,"., CIK",,At capture location,Coiled,2008-160,08recap,,,,,
4.73E+39,9/5/2008,16:07,CIK,Neonate,,Sight,No,Golf Course,3D diff,,,,322,543,,GC-club house,"Cloudy, Windy, Overcast",100,22.3,22.4,,#3,,3.4,155,91,64,Male,Juvenile,NA,"Gold, Tango blue, Deep aqua",,,9/5/2008,16:25,OMM,,Pine tree bridge,On the move,2008-161,Capt,,,,,
471D161F5C,9/8/2008,16:45,"OMM, CIK",Rattlesnake,,Sight,No,Lower trail near Cottonwood,3D diff,20,3.3,331,322063,5435257,354,"Shrub-steppe, Sagebrush","Sunny, Cool",10,23.9,26.5,,#8,,3.4,217,95,122,Female,Sub Adult,No,"Gold, Tango blue, Fiesta yellow",,,9/9/2008,14:44,OMM,1,At capture location,On the move,2008-162,Capt,,,,,
4723762068,9/10/2008,12:16,CIK,Rattlesnake,,Sight,No,By 2nd cover.,3D diff,35,4.9,329,322064,5435120,361,Shrub-steppe,"Sunny, Windy",0,27.2,26.4,,#4,,3.5,240,102,138,Female,Juvenile,No,"Gold, Tango blue, Pt purple",,,,,,,,On the move,2008-,Sight,,,,,
4578502655,9/19/2008,10:41,CIK,Rattlesnake,,Sight,Yes, 2nd bridge.,3D diff,105,4,327,322003,5435347,373,Grassland,Sunny,0,30.3,25.8,,#1,,,509,119,390,,Adult,,"Royal blue, Royal blue, Fiesta yellow",,,,,,,,Coiled,2008-,08recap,,,,,
4725335B6F,9/19/2008,18:34,CIK,Rattlesnake,,Sight,Yes,High desert,3D diff,53,4.7,346,321682,5435607,379,Long grass,Dusk,75,26.9,27.4,,yellow,58,3.8,295,105,190,Female,Sub Adult,Yes,,,,,,,,,On the move,2008-,Capt,"it is recorded as a ""new rattlesnake""  but no date is on paper.",,,,2009-067 is written on the same sheet as 2008-? (4725335B6F).  Were they caught at the same time?????
472417332C,5/7/2009,17:15,CIK,Rattlesnake,,Sound,No,Above village,3D diff,25,4.3,335,321956,5435358,460,,,,,,,Dark blue,57,3.8,218,99,119,Female,Sub Adult,Yes,,,,,,,,,,2009-067,Capt,,,,,2009-067 is written on the same sheet as 2008-? (4725335B6F).  Were they caught at the same time?????
,5/9/2009,13:00,Ck,Rattlesnake,,Sight,No,Below RedRock,3D diff,52,4.7,581,323010,5435256,501,Rock slide,"Sunny, Hot",25,23.1,26.8,,Troll,,,,,,Male,Adult,No,"Royal blue, Royal blue, Royal blue",,,,,,,,Basking,2009-,Sight,,,,,
4578502655,5/13/2009,15:06,"CIK, TER",Rattlesnake,,Sight,Yes,bridge,3D diff,103,5,326,322156,5435038,504,Bridge,"Cloudy, Cool",100,20.2,19.9,,18,81,6.6,458,78,380,Male,Adult,No,"Fiesta yellow, Deep aqua, Deep aqua",,,5/13/2009,15:57,TER,,Bridge,"Coiled, Basking",2009-106,08recap,,,,,
445E 1B2963,5/13/2009,15:44,"CIK, TER",Rattlesnake,,Sight,Yes,Bridge,3D diff,103,5,326,322156,5435038,504,Bridge,"Cloudy, Cool",100,20.2,19.9,,7,65,5,332,111,221,Male,Sub Adult,No,"Fuchsia, Red, Lt blue",,Recap snake,5/13/2009,15:58,TER,,Bridge,On the move,2009-107,Sight,,,,,
4578502655,5/17/2009,15:52,Interpreter Staff,Rattlesnake,,Sight,Yes,riparian,3D diff,50,4.5,323,321998,5435254,441,Riparian,,,,,,11,,,495,122,373,Male,Adult,NA,"Royal blue, Royal blue,, Fiesta yellow",,,,,,,,On the move,2009-109,Capt,,,,,
43602D1948,5/17/2009,14:45,"CA, Interpreter Staff",Rattlesnake,,Sight,Yes,Village,3D diff,36,3.3,322,321976,5435344,196,,,,,,,,,6.7,351,78,273,Male,Adult,NA,"Fiesta yellow, Tango blue, Tango blue",,,,,,,,,2009-108,Capt,,,,,
4462284360,5/18/2009,14:50,TER,Rattlesnake,,Sound,Yes,Creek bed north of village,3D diff,164,3,333,322055,5435460,511,"Dry river bed, near pines","Hot, Cloudy",100,33.4,30.2,,Plaid,,5.2,383,168,215,Male,Adult,NA,,,,,,,,,On the move,2009-110,Capt,,,,,
4702136A1A,5/20/2009,11:52,"., CIK, TER",Rattlesnake,,Sight,No,Small pithouse,3D diff,35,4.9,330,321978,5435335,518,. Pit-house,"Cloudy, Warm",100,24.2,25.2,found by barb ,green lime,,3.2,209,98,111,Male,Juvenile,NA,"Pine Green , Red, Pt purple",,,,,,,,Coiled,2009-111,08recap,,,,,
47022A3D28,5/20/2009,12:20,CIK,Rattlesnake,,Sight,No,First Bridge,3D diff,33,5,341,322136,543.505,520,Sagebrush,"Warm, Sunny",50,25.2,24.8,,8,,3.6,246,95,151,Female,Juvenile,Yes,"Pine Green, Red, Tango blue",,,,,,,,On the move,2009-112,Capt,,,,,
433E525C64,5/22/2009,9:20,CIK,Rattlesnake,,Sight,No,Sandy horse trail,3D diff,48,4.7,295,321840,5434809,3,Riparian,"Sunny, Warm",10,17.3,19.3,,8,,0,333,105,228,Male,Adult,NA,"Solid royal blue,, Fiesta yellow",,,,0:00,,0,,Under rabbit brush,2009-001,Sight,1000m,100m,E,E,
471166481A,5/24/2009,11:30,CIK,Rattlesnake,,Sound,No,Campground Site 227,3D diff,25,4.9,279,321229,5434383,482,"CG, ",,,0,0,,White,,3.9,194,99,95,Female,Juvenile,No,"Pine Green, Geranium Red, Deep Aqua",,,,0:00,,0,,Coiled,2009-002,Capt,,,,,
486026452C,5/25/2009,11:12,CIK,Rattlesnake,,Sound,Yes,25m below Drift fence.by telephone pole ,3D diff,28,4.7,379,322736,5434767,4,Antelope brush,"Sunny, Hot",5%,30.3,26,,White with blue,,5.3,312,112,200,Female,Sub Adult,Yes,"Gold, Red, Royal blue",,female rattlesnake,,0:00,,0,,Under antelope brush,2009-003,08recap,1500m,100m,W,S,
4545061629,5/26/2009,15:12,CIK,Rattlesnake,,Sight,Yes,First Bridge,3D diff,20,3.4,329,322136,5435058,7,Bridge,"Cloudy, Warm",100,28.3,28.7,,White,,3,205,99,106,Female, Adult,No,"Fiesta yellow, Royal blue, Pt purple",,,5/27/2009,16:35,CIK,1,At capture location,Coiled,2009-006,Capt,200m,500m,S,S,
4578502655,5/26/2009,9:23,CIK,Rattlesnake,,Sight,No,Bridge,3D diff,20,4.9,329,322152,5435032,5,Bridge,"Cloudy, Cool",100,20,21.5,Found on bridge,7,,6.8,487,111,376,Male,Adult,NA,"Royal blue, Royal blue, Fiesta yellow",,,5/27/2009,16:16,CIK,1,At capture location,On the move,2009-004,Capt,200m,700m,S,S,
430F5B2E26,5/26/2009,15:31,CIK,Rattlesnake,,Sight,No,First Bridge,3D diff,4,3,328,322144,5435052,9,Bridge,"Cloudy, Warm",100,27.6,26.4,,13,,6,411,109,302,Male,Adult,NA,"Royal blue, Royal blue, Fiesta yellow",,,,0:00,,0,,Coiled,2009-008,Capt,200m,500m,S,S,
470F61034A,5/26/2009,12:33,CIK,Rattlesnake,,Sound,No,Above Power station entrance,3D diff,148,4.8,382,322771,5434588,6,"Rabbit brush,","Cloudy, Warm",100,28.1,25.8,New rattlesnake ,15,,3.8,278,94,184,Female,Adult,No,"Pine Green, Red, Fiesta yellow",,,5/29/2009,9:42,CIK,3,Same place where found,Under rabbit brush,2009-005,Capt,2000m,25m,W,W,
471E58072A,5/26/2009,16:16,CIK,Rattlesnake,,Sound,No,Desert Centre front steps,3D diff,47,4.6,328,322.113,5434876,10,"Front stairs, ","Cloudy, Windy",100,25.9,25.9,,18,54.5,4.1,187,78,109,Female,Adult,No,"Pine Green, Red, Citrus green",,,,0:00,,0,,Coiled,2009-009,Sight,25m,25m,N,E,
Neonate,5/26/2009,15:23,CIK,Neonate,,Sight,No,First Bridge,3D diff,42,4.8,329,322144,5435056,8,Bridge,"Cloudy, Warm",100,28.1,27.4,,12,,1.9,116,104,12,,Neonate,,Pine Green,,,5/27/2009,16:23,CIK,1,At capture location,Coiled,2009-007,Capt,200m,500m,S,S,
Neonate,5/28/2009,10:23,CIK,Neonate,,Sight,No,Desert Centre CoverBroad,3D diff,3,30,336,322150,5434896,12,CoverBoard,"Sunny, Hot",25,22.7,27.6,,Troll,,2.5,96,86,10,,Neonate,NA,Pine Green,,,6/3/2009,11:24,CIK,6,Village riperean,Under coverboard,2009-010,Capt,50m,100m,N,W,
Neonate,5/28/2009,14:51,CIK,Neonate,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,11,,0.9,132,122,10,,Neonate,,Pine Green,,,5/29/2009,15:54,CIK,1,Bridge,,2009-012,Capt,,,,,
Neonate ,5/28/2009,13:46,CIK,Neonate,,Sight,No,Village -In tipi,3D diff,67,4,333,321980,5435354,459,,,,0,0,,White with yellow trim,,1.6,116,105,11,,Neonate,,Pine Green,,,,0:00,,0,,,2009-011,Capt,,,,,
4579506371,5/29/2009,15:57,CIK,Rattlesnake,,Sight,No,"Campground, marina",3D diff,25,3.6,280,321406,5434804,467,CG-marina,,,0,0,,5,,3.8,260,93,167,Female,Adult,No,"Citrus green, Lt blue, Blue bell",,,,0:00,,0,,Coiled,2009-015,Capt,,,,,
472C762437,5/29/2009,12:03,CIK,Rattlesnake,,Sight,No,Desert Centre -Tipi,3D diff,36,4.5,340,322120,5434984,15,1st Tipi at desert centre,,,0,0,,10,,4.2,347,124,223,Male,Adult,NA,"Pine Green, Red, Lt blue",,Found at 1st tipi,,0:00,,0,,Coiled,2009-014,Capt,50m,300m,S,S,
Neonate,5/29/2009,10:40,CIK,Neonate,,Sight,No,Drift fence,3D diff,120,4.1,389,322736,5434787,14,Drift fence,"Sunny, Hot",0,24.4,25.9,,White with blue,,0.7,123,112,11,,Neonate,NA,Pine Green,,,5/29/2009,15:55,CIK,0,Bridge,Drift fence,2009-013,Capt,3000m,500m,W,S,
47232E750C,5/30/2009,9:38,CG staff,Rattlesnake,,Sight,Yes,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,1,,5.7,357,119,238,Male,Adult,NA,"Pine Green, Red, Car pink",,Recaptured,6/3/2009,11:07,CIK,4,Village riperean,Coiled,2009-016,Capt,,,,,
4723730A01,5/30/2009,13:07,,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,13,,3,230,109,121,Female,Sub Adult,No,"Pine Green, Red, , Royal blue",,,,0:00,,0,,Coiled,2009-017,Capt,,,,,
Neonate ,5/30/2009,15:15,,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,12,,2,120,109,11,,Neonate,,Pine Green,,Neonate,,0:00,,0,,Coiled,2009-018,Capt,,,,,
Neonate ,5/31/2009,9:10,CG staff,Neonate,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,11,,2,139,122,17,,Neonate,,Pine Green,,,6/3/2009,11:00,CIK,3,Village riperean,Coiled,2009-019,Capt,,,,,
Neonate ,5/31/2009,9:54,CG staff,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,Wht/blue checkered,,2,102,91,11,,Neonate,NA,Pine Green,,,6/3/2009,11:00,CIK,3,Village riperean,Coiled,2009-020,Capt,,,,,
430F79466A,6/1/2009,11:09,CIK,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,No information,8,,5.6,301,95,206,Male,Adult,NA,"Fiesta yellow, Royal blue",,,6/2/2009,0:00,CIK,1,,Coiled,2009-021,Capt,,,,,
497F793203,6/1/2009,11:34,CIK,Juvenile,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,17,,4.2,206,102,104,Male,Juvenile,NA,"Gold, Citrus green, Blue bell",,,,0:00,,0,,Coiled,2009-022,Capt,,,,,
445C7C2E10,6/2/2009,14:16,CIK,Rattlesnake,,Sight,No,1st telephone pole above waterplace,3D diff,67,4.4,382,322774,5434642,476,Grassland,,,0,0,,16,,5.1,293,99,194,Female,Adult,NA,"Fuchsia, Daisy cream, Lt blue",,,6/2/2009,14:41,CIK,0,Back at water place.,Coiled,2009-029,Capt,3000,500m,W,S,
445D06042F,6/2/2009,10:59,CG staff,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,3,,5.5,413,92,321,,Adult,,"Fuchsia, Blue bell, Daisy cream",,,6/2/2009,0:00,CIK,0,,Coiled,2009-024,Capt,,,,,
45563C3159,6/2/2009,11:41,CG staff,Rattlesnake,,Sight,No,"Campground, 50ft from entrance to road",3D diff,54,4.9,297,321756,5434579,479,CG,,,0,0,50ft from entrance to road,Red and blue strips,,6.5,468,92,376,Male,Adult,NA,"Royal blue, Royal blue, Royal blue",,,6/2/2009,12:53,CIK,0,,On the move,2009-027,Capt,,,,,
456D2B0755,6/2/2009,11:25,CG staff,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,White with yellow trim,,4.1,229,102,127,Female,Adult,No,"Fiesta yellow, Red, Daisy cream",,,6/2/2009,0:00,CIK.,0,,Coiled,2009-026,Capt,,,,,
456F102247,6/2/2009,10:38,CG staff,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,Green,,6.3,375,127,248,Male,Adult,NA,"Tango blue, Daisy cream",,,,0:00,,0,,Coiled,2009-023,Capt,,,,,
456F117D1F,6/2/2009,14:01,CG staff,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,,,,0,0,,7,,3.8,250,112,138,Female,Adult,NA,"Citrus green, Lt blue, Car pink",,,,0:00,,0,,,2009-028,Capt,,,,,
456F1C0D54,6/2/2009,11:10,CG staff,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,,,,0,0,,1,,5.4,342,118,224,Male,Adult,NA,"Fiesta yellow, Deep aqua, Daisy cream",,,6/2/2009,0:00,CIK,0,,,2009-025,Capt,,,,,
452F536E29,6/3/2009,10:26,CG staff,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,White with yellow trim,,3.6,275,101,174,Female,Adult,NA,"Fuchsia, Car pink, Lt blue",,No Paint and took picture.,,0:00,,0,,Coiled,2009-033,Capt,,,,,
47113C3900,6/3/2009,13:51,CG staff,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,Yellow with flowers,47.6,3.8,195,115,80,Male, Sub Adult,NA,"Pine Green, Red, Fuchsia",,,6/3/2009,12:33,CIK,0,Riperian - pumphouse,Coiled,2009-036,Capt,,,,,
471D726D16,6/3/2009,14:39,CG staff,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,White with flowers,,4.4,224,97,127,Female,Sub Adult,No,"Pine Green, Daisy cream, Blue bell",,,,0:00,,0,,Coiled,2009-037,Capt,,,,,
4725305C11,6/3/2009,13:26,CG staff,.Juvenile,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,18,51.1,4.2,170,78,92,Male,Juvenile,NA,"Pine Green, Red, Blue bell",,,,0:00,,0,,Coiled,2009-035,Capt,,,,,
485F5B1263,6/3/2009,11:40,CG staff,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,15,,5.3,259,94,165,Male,Sub Adult,NA,"Gold, Pt purple, Deep aqua",,,6/3/2009,0:00,CIK,0,Village riperean,Coiled,2009-034,Capt,,,,,
Neonate ,6/3/2009,9:19,CG staff,Neonate,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,White,,1.9,111,98,13,,Neonate,NA,Pine Green,,,6/3/2009,11:00,CIK,0,Village riparian,,2009-030,Capt,,,,,
Neonate ,6/3/2009,9:41,CG staff,Neonate,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,14,,2.3,98,87,11,,Neonate,NA,Pine Green,,,6/3/2009,11:00,CIK,0,Village riperean,Coiled,2009-031,Capt,,,,,
Neonate ,6/3/2009,10:12,CG staff,Neonate,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,8,,2,107,95,12,,Neonate,NA,Pine Green,,,6/3/2009,11:00,CIK,0,Village riperean,Coiled,2009-032,Capt,,,,,
Neonate ,6/3/2009,20:30,Janiter staff,Neonate,,Sight,No,"Desert Centre, by big metal door",3D diff,104,4.9,324,322125,5434881,429,Building,,,0,0,,White with blue flower,,0.5,108,95,13,,Neonate,NA,Pine Green,,Caught by janitor staff,,0:00,,0,,On the move,2009-038,Capt,,,,,
4578502655,6/4/2009,9:34,CIK,Rattlesnake,,Sight,No,Bridge,3D diff,73,3.1,332,322140,5435055,20,Sagebrush,"Sunny, Warm",0,22.7,22.5,,13,,6.1,683,109,574,,Adult,,"Fiesta yellow, Royal blue, Royal blue",,Transmittered Rattlesnake,,0:00,,0,,Coiled,2009-039,Capt,200m,300m,S,S,
433E06795F,6/4/2009,9:41,CIK,Rattlesnake,,Sight,No,First Bridge,3D diff,118,4.3,336,322136,5435055,23,Bridge,,,0,0,,White,,6.2,428,96,332,Male,Adult,NA,"Red, Daisy cream, Car pink",,,,0:00,,0,,Coiled,2009-040,Capt,200m,300m,S,S,
45300C153A,6/4/2009,10:12,CIK WCD,Rattlesnake,,Sound,No,By coverboard 4,3D diff,46,4.6,306,321695,5434720,27,Rabbit brush,"Sunny, Warm",0,26.7,26.8,,1,,3.8,231,118,113,Female, Adult,No,"Fuchsia, Pt purple, Lt blue",,Taken update photo,,0:00,,0,,Coiled,2009-041,Capt,200m,210m,W,S,
471E533547,6/4/2009,8:00,CG staff,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,11,,3.5,253,122,131,Female, Adult,No,"Citrus green, Royal blue, Lt blue",,,,0:00,,0,,Coiled,2009-042,Capt,,,,,
470224306B,6/5/2009,10:36,CG staff,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,Lime green,,5.3,329,102,227,Male,Adult,NA,"Pine Green, Pt purple, Geranium Red",,Has 3other colors but no pittag  fuishia pink fuishia,,0:00,,0,,Coiled,2009-044,Capt,,,,,
472C596645,6/5/2009,11:15,CG staff,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,12,,3.5,210,104,106,Female,Sub Adult,No,"Pine Green, Pt purple, Fiesta yellow",,,,0:00,,0,,Coiled,2009-045,Capt,,,,,
Neonate ,6/5/2009,10:21,CG staff,Neonate,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,7,,2.3,127,111,16,,Neonate,NA,Pine Green,,,,0:00,,0,,,2009-043,Capt,,,,,
Neonate ,6/6/2009,9:50,CG staff,Neonate,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,White w blue,,2,124,111,13,,Neonate,NA,Pine Green,,"Neonate looks injured at vent,  Object sticking out, red and swollen,",,11:00,,0,,Coiled,2009-046,Capt,,,,,
Neonate ,6/7/2009,9:29,CG staff,Neonate,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,18,,2.4,94,78,16,,Neonate,NA,Pine Green,,,6/8/2009,11:00,CIK,1,,Coiled,2009-047,Capt,,,,,
Neonate ,6/7/2009,9:43,CG staff,Neonate,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,1,,2,130,119,11,,Neonate,NA,Pine Green,,,6/8/2009,11:00,CIK,1,,Coiled,2009-048,Capt,,,,,
Neonate ,6/7/2009,10:08,CIK,Neonate,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,5,,1.7,103,93,10,,Neonate,NA,Pine Green,,,6/8/2009,11:00,CIK,1,,Coiled,2009-049,Capt,,,,,
Neonate ,6/7/2009,10:28,CG staff,Neonate,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,Sunny,,0,0,,White w yellow trim,,1.6,113,101,12,,Neonate,NA,Pine Green,,,6/8/2009,11:00,CIK,1,,Coiled,2009-050,Capt,,,,,
Neonate ,6/7/2009,10:42,CG staff,Neonate,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,Sunny,,0,0,,14,,1.8,98,86,12,,Neonate,NA,Pine Green,,,6/8/2009,11:00,CIK,1,,Coiled,2009-051,Capt,,,,,
452F6B490B,6/8/2009,11:56,CG staff,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,White with flower,,3.7,187,95,92,Female,Sub Adult,No,"Fuchsia, Pt purple, Fiesta yellow",,Redo paint and dot for vent.,,0:00,,0,,Coiled,2009-054,Capt,,,,,
456F102247,6/8/2009,16:20,CG staff,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,12,,59,341,104,237,Male,Adult,No,"Royal blue, Daisy cream",,,6/9/2009,16:40,CIK,1,Pine tree bridge,On the move,2009-059,Capt,,,,,
47232E750C,6/8/2009,11:06,CG staff,Rattlesnake,,Sight,Yes,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,Blue red strips,,5.7,321,90,231,,,,,,,,0:00,,0,,Coiled,2009-052,Capt,,,,,
47240D455A,6/8/2009,11:35,CG staff,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,13,,3.7,221,109,112,Female,Adult,No,"Citrus green, Deep aqua, Lt blue",,Did a repaint of tail.,6/8/2009,0:00,"CIK, WCD",0,,Coiled,2009-053,Capt,,,,,
47253F2A13,6/8/2009,13:26,CG staff,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,8,,4.5,231,95,136,Male,Sub Adult,NA,"Pine Green, Pt purple, Fuchsia",,"Injured Left eye, New Rattlesnake. ",,0:00,,0,,Coiled,2009-055,Capt,,,,,
47254F7545,6/8/2009,14:06,CG staff,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,White,,3.6,192,96,96,Female,Adult,No,"Pine Green, Pt purple, Tango blue",,New Rattlesnake,,0:00,,0,,Coiled,2009-056,Capt,,,,,
472B631766,6/8/2009,22:30,GC staff,Rattlesnake,,Sight,No,Golf Course,3D diff,36,4.9,342,322328,5434777,461,GC,,,0,0,,10,,3.5,241,124,117,Female,Sub Adult,NA,"Pine Green, Pt purple, Car pink",,,,0:00,,0,,Coiled,2009-057,Capt,,,,,
Neonate,6/8/2009,15:45,CG staff,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,White,,1,112,99,13,,Neonate,NA,Pine Green,,,6/9/2009,15:59,CIK,1,Lone Pine bridge,On the move,2009-058,Capt,,,,,
Neonate,6/9/2009,16:02,Janiter staff,Rattlesnake,,Sight,No,Spirit Ridge - villa7-12,3D diff,34,4.9,327,322058,5434803,478,Building,,,0,0,,,,1.8,110,95,15,,Neonate,NA,Pine Green,,,6/9/2009,16:07,CIK,0,Lone Pine bridge,On the move,2009-061,Capt,,,,,
Neonate,6/9/2009,16:08,CG staff,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,7,,23,124,112,12,,Neonate,No,Pine Green,,,6/9/2009,16:15,WCD,0,Lone Pine bridge,On the move,2009-062,Capt,,,,,
Neonate,6/9/2009,19:37,CG staff,Neonate,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,17,,2.3,115,102,13,,Neonate,NA,Pine Green,,,6/9/2009,19:44,WCD,0,1st bridge,Coiled,2009-063,Capt,,,,,
Neonate ,6/9/2009,13:20,CIK,Neonate,,Sight,No,Construction site,3D diff,116,2.2,327,322181,5434636,28, construction site,"Sunny, Cool",50,24.3,26.9,,White with purple spotes,,0,0,0,0,,Neonate,,,,,,0:00,,0,,On the move,2009-060,Capt,At buildng,25m,N,W,
47113C3900,6/10/2009,12:13,CG staff,Rattlesnake,,Sight,Yes,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,Dusk,,0,0,,11,,0,198,122,76,Male,Juvenile,NA,"Pine Green, Red, Fuchsia",,,6/10/2009,15:41,WCD,0,Village riperean,On the move,2009-065,Capt,,,,,
471145066F,6/10/2009,12:36,CG staff,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,Dusk,,0,0,,14,,4,205,87,118,Female,Adult,No,"Citrus green, Deep aqua, Fiesta yellow",,,6/10/2009,15:39,WCD,0,Village riperean,On the move,2009-066,Capt,,,,,
4.72E+33,6/10/2009,9:35,CG staff,Rattlesnake,,Sight,No,Campground,3D diff,20,3.1,277,321448,5434720,466,CG,,,0,0,,Light green,55.7,3.8,215,102,113,Female,Adult,No,"Pine Green, Pt purple, Deep aqua",Yes,,6/10/2009,15:30,WCD,0,,On the move,2009-064,Capt,,,,,
Neonate,6/10/2009,20:23,WCD,Rattlesnake,,Sight,No,Desert Centre,3D diff,21,4.6,327,322122,5434865,37,Road,Dusk,,25,25.7,,,,2.4,108,90,18,,Neonate,NA,Pine Green,,,6/11/2009,14:14,WCD,1,1st bridge,On the move,2009-068,Capt,25m,0,N,,
